
- Printing MST in Matrix -------------------- 
	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
0																																																																												300	
1		1118																																																																											
2					700																																																																								
3						1115		905																																																																					
4											700																																																																		
5														522																																																													3157		
6													1118																																																																
7							905		583																																																																				
8																																																																													
9																	700																																																												
10																																																																													
11																												700		1367																																															
12																																																																													
13																																																																													
14																																														3050																															
15																																																																													
16																																			1118																																										
17																																		700																																											
18																			550																		522																																								
19																		667																																																											
20																700																																																													
21										700																																																																			
22																				1698	1053																																																								
23				700																		3100			4539	3464																					6307																														
24															522																																																														
25												1118																																																																	
26																																																																													
27																																												1053																																	
28																																	700																																												
29																																													3100				3464																												
30																																																																													
31																																																																													
32																																				1118																																									
33																																								700																																					
34																																																																													
35																																											715																																		
36																																																						1092	550																						
37																																										667																																			
38																																																																													
39																																																		700																		3100									
40																																																					905																								
41																																																								700																					
42																																																																													
43																																									667																																				
44																																						522																																							
45																													1115																																																
46																											2621				1092	550																																													
47																																																1450																													
48																																							700																																						
49																																																				1115																									
50																																																									700																				
51																																																												522																	
52																																																																													
53																																																			700																										
54																																																																					3050	1931							
55																																																											1118																		
56																																																														700															
57																																																																		715											
58																																																																	667												
59																																																															700														
60																																																													522																
61																																																																							3905						
62																																																																													
63																																																																													
64																																																																													
65																																																																													
66																																																																			715										
67																																																																667													
68																																																										1118																			
69																																																																													
70																																																																								1900		300			
71																																																																									300				
72																																																																													
73																																																																													
74																																																																													
75			1118																				3050	1931																																																					
-------------------------------------------- 
